nonprofit_name,url,mission_vision_services,causes,phone,email,website,address,city,state,hours,ein,scraping_status
"Mending Hearts, Inc.",https://www.givingconnection.org/locations/27,"Mission: Established 2004, Mending Hearts missions helps women restore their lives from addiction through a long term treatment program that offers hope and healing in a supportive community environment - regardless of their ability to pay. Nurturing homeless and addicted women to enable themselves to achieve better lives free from addiction drives our mission. Mending Hearts is a licensed full continuum of care specializing in integrated co-occurring disorder treatment with the focus on stabilization. Mending Hearts serves nearly 375 women annually and our outreach spreads across 95 counties and into other states. Currently, Mending Hearts has a bed capacity to serve 110 women. Vision: We offer a holistic approach to addiction by providing compassionate phases of care in a family environment. We identify the triggers and stressors of addiction while establishing the support needed for recovery. Our unique program develops independence and offers opportunities to reintegrate into society with confidence. Services: Medical Detox: Treatment for long-term drug use with co-occurring disorders requiring medical management. Medication-Assisted Treatment (MAT): Mending Hearts specializes in a person-centered, evidence-based MAT treatment plan with recovery support to ensure safe withdrawal from drugs and alcohol. Residential Treatment Center (RTC): Our highly structured program serves clients with the primary purpose of restoration from alcohol and/or drug abuse as well as dependency disorders to levels of positive functioning and abstinence. Peer Support Community with Recovery Housing (PSC): This program provides a safe and secure living environment where every resident is a role model for the residents entering the program after them. Intensive Outpatient Program (IOP): This program focuses on addressing addictions, depression, and other dependencies of the individual client through involvement in the following therapeutic processes: evidenced based groups, 12 step facilitated individual and group therapies, family therapy, addiction/co-occurring educational presentations, and experiential and skill-building groups. Partial Hospitalization Program (PHP): Partial Hospitalization Program (PHP) is a level of care that provides clients with access to a safe, and structured treatment environment without total disruption of their daily routines.",Drug & Alcohol Treatment,866-416-1909,info@mendingheartsinc.org,http://www.mendingheartsinc.org,"Mending Hearts Inc, 44th Avenue North, Nashville, TN, USA",Nashville,TN,Closed; Mon - Fri10:30 AM -  6:30 PM (EDT); SatClosed; SunClosed,,success
"Oasis Center, Inc.",https://www.givingconnection.org/locations/34,"Mission: Oasis Center is where youth grow, thrive, and create positive change in their lives and in our community. Located in Nashville, Oasis Center is a nationally-recognized organization on a mission to help young people in Middle Tennessee move into a happy, healthy, and productive adulthood. Every year, we engage over 3,500 youth and families across a broad spectrum of programs and services designed to help them reach their full potential. Vision: Our philosophy is simple: Rather than viewing youth as passive recipients, we see them as full stakeholders who hold the keys to addressing some of the most challenging problems facing our city, including violence reduction, improved graduation rates, bullying prevention, discrimination, intolerance, and more. Services: 24/7 Crisis Services: 615-327-4455 Crisis and Residential Services: Oasis Center’s Crisis and Residential Services represents Middle Tennessee’s only continuum of programs for youth who are homeless, have run away, or are experiencing serious familial crisis. Programs include:1) Oasis Emergency Shelter -- a two-week residential program providing crisis intervention and comprehensive support for teens (ages 13-17) and families. Our Shelter is designed to help youth and families stabilize their unique situations and find long-term solutions so that youth and families can safely reunite, stay together, and avoid placement in state custody. 2) Outreach Program -- helping unsheltered youth (ages 18-24) address immediate safety needs and transition to safe housing and self-sufficiency. In addition to street outreach services, our Drop-In Center is open every weekday, providing a safe place for 20-30 youth to take a shower, eat a hot meal, and check-in with a caring adult. Together with Urban Housing Solutions, we also operate Nashville's first permanent housing program dedicated for youth. The Fisk Court Apartments, located directly adjacent to Oasis, provide permanent supportive housing for 20 formerly homeless youth. Oasis provides youth outreach services to thousands of youth and families in Middle Tennessee. Counseling Services: At Oasis Center our on-site team of counselors is highly experienced in meeting the needs of youth and families in crisis. Youth Engagement and Action: Oasis Center’s Youth Engagement and Action (YEA) is dedicated to empowering young people to be catalysts for positive social change. We offer a continuum of opportunities designed to provide young people with services that prevent problems, advance academic success, encourage community service, and promote college access. Oasis College Connection (OCC) is Nashville’s first college access program dedicated to supporting the needs of first generation college students. Our Mentors serve students in 10 high-need public schools across Metro Nashville, working to promote a “college-going culture” among students, teachers, administrators, and parents.","LGBTQ+, Youth Development",615-327-4455,,http://www.oasiscenter.org,"1704 Charlotte Ave, Suite 200,  Nashville,  TN 37203,  USA",Nashville,TN,Closed; Mon - Fri11:00 AM -  7:00 PM (EDT); SatClosed; SunClosed,,success
"4:13 Strong, Inc.",https://www.givingconnection.org/locations/35,"Mission: 4:13 Strong is a residential program that is dedicated to providing life skills training, job skills training and full time employment for young men between the ages of 18 and 24. Through a combination of collaboration with other organization and utilizing our own staff and materials, we offer life skills training in the following areas: physical fitness, diet and nutrition, Bible study, money management, parenting, substance abuse awareness, and GED preparation, The men in the program will learn general workplace skills as well as specific construction industry skills. The general workplace skills include: resume writing, interviewing skills, workplace behavior, and conflict resolution. The specific construction industry training includes earning certifications for NCCER (National Center for Construction Education and Research) Core Curriculum, OSHA 10 safety certification, forklift operator certification and flagging certification. Our mission: To break the cycle of poverty, crime and dependency by providing faith-based educational, vocational, and life skills training. Vision: We empower men to transform their lives so that they can succeed personally and professionally. Services: 4:13 Strong is a men's residential program providing life and job-skills training, housing, and employment opportunities to men predominantly in the Nashville and Davidson County region of Tennessee. Young men ages 18 to 30 years old who have previous experiences in incarceration, homelessness, or severe underemployment as well as those looking to earn job-skills right out of high school, are all welcome participants at 4:13 Strong. The program typically requires 6-8 months to complete. First, a participant must complete a 7 week training program including financial literacy, three construction certifications, Bible study, ACEs and resiliency training, and health and wellness. At the completion of training, participants are employed by a 4:13 Strong job partner in the Middle Tennessee construction industry, earning their first full-time employment with benefits and a living wage. Participants then live on campus, practicing financial skills until they achieve graduation requirements.",Youth Development,,steve@413strong.org,http://www.413strong.org/,"1276 Foster Ave, Nashville, TN 37210, USA",Nashville,TN,No Set Business Hours - Call to Inquire,,success
YMCA of Middle Tennessee,https://www.givingconnection.org/locations/41,"Mission: Our Mission: A worldwide charitable fellowship united by a common loyalty to Jesus Christ for the purpose of helping persons grow in spirit, mind and body. Vision: At the Y, we believe the values and skills learned early on are vital building blocks for life. That’s why we’re committed to giving kids in our community--especially those facing the most difficult circumstances--the tools and support they need to realize their full potential. We accomplish this by giving kids safe places to belong that instill the important character values, life skills and healthy habits that can help them learn and grow into confident, secure and connected adults. Services: Youth Development: At the Y, we believe the values and skills learned early on are vital building blocks for life. That’s why we’re committed to giving kids in our community--especially those facing the most difficult circumstances--the tools and support they need to realize their full potential. We accomplish this by giving kids safe places to belong that instill the important character values, life skills and healthy habits that can help them learn and grow into confident, secure and connected adults. Healthy Living: We also believe a community is strongest when everyone has the opportunity to live healthier in all areas of life—spirit, mind and body. Unfortunately, too many people in our community are suffering from a health and obesity crisis that is causing unnecessary harm and costing our state billions of dollars in preventable health costs. That’s why the Y is focused on providing community-based solutions that have been proven to prevent illnesses before they start and give people the help they need to live healthier and happier lives. Social Responsibility: Our Y has been listening to and responding to our communities’ most critical social needs for nearly 140 years. That history has taught us that lasting personal and social change only comes when join hands to work together and support one another. That’s why we’re committed to fostering a sense of social responsibility in our community by providing opportunities for people to give back, make meaningful connections with one another and develop the community support and resources needed to meet our region’s most critical needs. At the Y, strengthening community is our cause. Guided by our Christian mission, we have always believed that our community’s strength lies not in its buildings or bridges but in the hopes, dreams and potential of its people. That’s why, every day, we work side-by-side with our neighbors to give everyone—regardless of age, income or background—the opportunities they need to learn, grow and thrive.","Human & Social Services, Sports & Recreation, Youth Development",615-254-0631,,https://www.ymcamidtn.org/,"1000 Church Street, 4th Floor,  Nashville,  TN 37203,  USA",Nashville,TN,Closed; Mon - Fri7:00 AM - 11:00 PM (EDT); Sat9:00 AM -  7:00 PM  (EDT); Sun12:00 PM -  7:00 PM  (EDT),,success
Monroe Harding Inc.,https://www.givingconnection.org/locations/48,"Mission: Monroe Harding’s mission is to change young people’s lives. Our cause is to ensure that foster care youth and other vulnerable young people build a solid foundation of strengths that position them for success in adulthood. Our cause and mission are accomplished through trauma and resiliency informed programs and services in foster care, supportive housing, clinical emotional and mental health support services, and education, career development, and life skills support services. Vision: MMH utilizes four main strategies to empower young people to make meaningful changes in their lives: homes, healing, opportunities, and advocacy. Services: Youth Connections Resource Center: Founded in 1893, Monroe Harding’s mission is changing young people’s lives. Throughout that time, our agency adapts to meet the changing needs of children and youth in our community. Created in 2005, Monroe Harding's Youth Connections Resource Center (YC), located in downtown Nashville, is well-established as a drop-in center and service provider for yourng adults (ages 16 to26). It is one of only four designated community resource centers for current and former foster youth in the state of TN and also serves other vulnerable young adults who are neither enrolled in school nor participating in the labor market. Foster Care: Monroe Harding’s Foster Care program serves children and adolescents (ages 0 to 19 years) who are in the legal custody of the Tennessee Department of Children’s Services (DCS). We provide children and teens with a safe, nurturing environment while their birth parents improve their ability to care for their children. Supportive Housing: Monroe Harding's supportive housing provides safe, affordable housing to young adults who are experiencing homeless or at risk of homelessness through two programs: Independent Living (IL) and VOCA (Victims of Crime). Opportunity Now Reengagement Hub at Monroe Harding: Youth Connections is home to one of two recently launched reengagement hubs for young adults ages 17-24 in the Metro Nashville area who experienced traumatic crime-victimization. The purpose of our hub is to provide collaborative, community-based support in education and employment.",Children & Family Services,615-298-5573,communityrelations@monroeharding.org,http://www.monroeharding.org,"1 Vantage Way, Suite C-165,  Nashville,  TN 37228,  USA",Nashville,TN,Closed; Mon - Fri11:00 AM -  7:00 PM (EDT); SatClosed; SunClosed,,success
Rotary Club of Nashville,https://www.givingconnection.org/locations/105,"Mission: Our mission is to impact our community by providing forums for fellowship, understanding and service among engaged leaders. Vision: Provide humanitarian service, encourage high ethical standards in all vocations and help build goodwill and peace in the world. Services: FEED THE NEED: The Rotary Club of Nashville’s annual outreach project, Feed the Need, provides boxes of food to Nashville’s hungry in December. Rotarians and their families participate in this initiative, which spans almost the entire month. In addition to providing volunteer hours to cover all operations of this project, we also fund it through a partnership with Second Harvest Food Bank. December 2016 brought the opportunity to increase recipients from 1,200 to 1,600. Each recipient receives two boxes of food, one containing pantry items, the other with fresh produce. Our members assembled 3,200 boxes, sorted thousands of pounds of food, packed the boxes, and finally, delivered the boxes on a cold, rainy Saturday before Christmas. While delivering boxes, volunteers meet the recipients, strike up conversations, and return the following year to cover the same territory, visiting those they previously met. We learn the importance of giving back to our community, and connect with the person on the other side of the box.","Philanthropy, Human & Social Services, Youth Development",(615)-645-5935,caroline@nashvillerotary.org,https://www.nashvillerotary.org/,"3401 West End Ave suite 318, Nashville, TN 37203, USA",Nashville,TN,Closed; Mon - Fri10:00 AM -  7:00 PM (EDT); SatClosed; SunClosed,,success
The Well Coffeehouse,https://www.givingconnection.org/locations/145,"Mission: We exist to support God’s mission of giving a life of freedom and hope to oppressed, underprivileged, and impoverished children, women, and men. This missional effort is focused locally and globally through the giving of financial assistance, food, clothing, and other essentials of life. We do this by selling coffee and coffee products and then taking the profit from those sales and giving it away to those in need. Vision: We want to take the money you spend on coffee and give that money to feeding and providing clean drinking water to the poorest people in the world. Will we eliminate world poverty? No. But we WILL make a difference. One coffee and one individual at a time.","Philanthropy, Human & Social Services",,info@wellcoffeehouse.org,https://wellcoffeehouse.com/,"4002 Granny White Pike, Nashville, TN 37204, USA",Nashville,TN,Closed; Mon - Fri8:00 AM -  7:00 PM (EDT); Sat9:00 AM -  7:00 PM  (EDT); Sun9:00 AM -  7:00 PM  (EDT),,success
Girls Write Nashville,https://www.givingconnection.org/locations/301,"Mission: Girls Write Nashville empowers expression through songwriting, production, mentorship, and positive creative community for youth artists. We seek to create a safe and accessible path to cultural participation in our local music community. As an educational program aligned with the standards of Creative Youth Development (CYD), Culturally Responsive Education (CRE), and Social Emotional Learning foundations, we believe in the power of original music making and personal storytelling as inherent human expression. Services: Satellite After-School Program Our new Satellite After-School program takes place weekly at McMurray Middle Prep. Girls learn songwriting and guitar basics, while supporting each other as they do the brave work of authentic songwriting. The season culminates in a recording session in partnership with fellow youth organization, Notes for Notes, where the girls put to practice all they learned over the semester. The overarching goal of our satellite school program is to create opportunity for youth who experience extra barriers (including geographic, transportation, and language) that prevent them from participating in our flagship program. All-City Mentorship Program We offer our flagship mentorship program at no cost to deserving middle and high school girls. Priority enrollment is granted to youth attending Title I public schools. Participants are paired with professional female songwriting mentors over the course of a 6-month season. They meet bi-weekly at approved locations. We train mentors to help their mentees uncover their authentic voice, develop instrumental skills, and advocate for their unique artistic vision. Once a month, the girls attend a youth-driven “Writers’ Guild” where they share their work with each other and engage in an artistic community. Each season culminates in a recording session at a professional studio. Participants bring their songs to life as they collaborate with an adult all-female professional studio band. Each July, the participants and the all-female adult band perform a live concert (album release show) open to the public.","Arts & Culture, Education, Youth Development",(615) 784-8725,info@girlswritenashville.org,http://www.girlswritenashville.org/,"3511 Gallatin Pike suite 103, Nashville, TN 37216, USA",Nashville,TN,Closed; Mon12:00 PM -  4:00 PM  (EDT); TueClosed; Wed12:00 PM -  4:00 PM  (EDT); ThuClosed; Fri12:00 PM -  4:00 PM  (EDT); SatClosed; SunClosed,,success
Dispensary of Hope,https://www.givingconnection.org/locations/359,"Mission: Your Donations Make a Difference $100 = 24 prescriptions for people that are uninsured and low income. Dispensary of Hope is a Charitable Medication Distributor. Through innovative stewardship of the pharmaceutical supply chain, Dispensary of Hope collects and distributes millions of dollars of pharmaceuticals annually to non profit pharmacies and safety-net clinics to dispense to low income, chronically ill patients. Through meaningful partnerships, pharmacies and clinics nationwide can utilize Dispensary of Hope medication to impact the health of their communities by improving access to affordable medication. As the cornerstone of population health initiatives, the Dispensary of Hope program is key to reducing avoidable hospital readmissions and emergency room use that often results from lack of access to affordable medication. Services: Medication distribution to nonprofit pharmacies, FQHCs, and clinics in the United States. Making medication available for free - to people who are uninsured and low income.","Advocacy, Faith-Based, Health",(615) 736-5075,info@dispensaryofhope.org,http://www.dispensaryofhope.org/,"2700 Brick Church Pike, Nashville, TN 37207, USA",Nashville,TN,Closed; Mon - Fri11:00 AM -  7:00 PM (EDT); SatClosed; SunClosed,,success
"Strength for Service, Inc.",https://www.givingconnection.org/locations/558,"Mission: The mission of Strength for Service, Inc. is to publish and provide spiritual and inspirational literature for members of the armed services, law enforcement officers, firefighters, EMTs/, health care professionals and other community servants. Services: Book Publishing Strength for Service publishes devotional books for military, first responders, EMT's and health care professionals.",Advocacy,866-297-4313,strength4service@gmail.com,https://strengthforservice.org/,"810 12th Ave S, Nashville, TN 37203, USA",Nashville,TN,Closed; Mon - Fri9:00 AM -  5:30 PM (EDT); SatClosed; SunClosed,,success
