"scope_of_work","irs_ntee_code","causes","beneficiaries","services","boolean","day","hours"
,"B: Education",,"Nomadic People","Pregnancy Centers",,,
,"B01: Alliances & Advocacy",,"People Struggling with Homelessness","Adult Day Care",,,
,"B02: Management & Technical Assistance",,"Victims & Oppressed People ","Centers for Blind & Visually Impaired People",,,
,"B03: Professional Societies & Associations",,"Academics","Centers for Deaf & Hearing Impaired People",,,
,"B05: Research Institutes & Public Policy Analysis",,"Activists","Centers for People with Developmental Disabilities",,,
,"B11: Single Organization Support",,"Artists & Performers","Developmental Disability Services",,,
,"B12: Fund Raising & Fund Distribution",,"Domestic Workers","Disability Advocates/Alliance Organizations",,,
,"B19: Support N.E.C.",,"Emergency Responders","Disability Education & Awareness",,,
,"B20: Elementary & Secondary Schools",,"Farmers","Disability Support/Caregivers",,,
,"B21: Preschools",,"Military Personnel","Group Homes",,,
,"B24: Primary & Elementary Schools",,"Retired People","Medical Support Services",,,
,"B25: Secondary & High Schools",,"Self Employed People","Physical Rehabilitation",,,
,"B28: Special Education",,"Sex Workers","Residential Care Programs",,,
,"B29: Charter Schools",,"Unemployed People","Services to Promote the Independence of Specific Populations",,,
,"B30: Vocational & Technical Schools",,"Veterans","Spinal Cord Injuries & Musculoskeletal Disease Support",,,
,"B40: Higher Education",,,"Supportive Housing",,,
,"B41: Two-Year Colleges",,,"Disaster Preparedness",,,
,"B42: Undergraduate Colleges",,,"Disaster Relief Assistance for Businesses",,,
,"B43: Universities",,,"Disaster Relief Housing",,,
,"B50: Graduate & Professional Schools",,,"Disaster Relief Loans",,,
,"B60: Adult Education",,,"Disaster Relief Services",,,
,"B70: Libraries",,,"Fire Prevention & Safety",,,
,"B80: Student Services",,,"First Aid Education & Services",,,
,"B82: Scholarships & Student Financial Aid",,,"Safety Education",,,
,"B83: Student Sororities & Fraternities",,,"Search & Rescue Squads",,,
,"B84: Alumni Associations",,,"Addiction & Recovery Services",,,
,"B90: Educational Services",,,"Crisis Intervention",,,
,"B92: Remedial Reading & Encouragement",,,"Detox Services",,,
,"B94: Parent & Teacher Groups",,,"Family & Friends Support Services",,,
,"B99: Education N.E.C.",,,"Inpatient Services",,,
,"C: Environment",,,"Long Term Recovery Residential Living",,,
,"C01: Alliances & Advocacy",,,"Medication Assisted Treatment",,,
,"C02: Management & Technical Assistance",,,"Outpatient Services",,,
,"C03: Professional Societies & Associations",,,"Recovery Meetings",,,
,"C05: Research Institutes & Public Policy Analysis",,,"Sober Living/Recovery Housing",,,
,"C11: Single Organization Support",,,"Substance Abuse Education & Prevention",,,
,"C12: Fund Raising & Fund Distribution",,,"Substance Abuse Treatment",,,
,"C19: Support N.E.C.",,,"Transitional Living",,,
,"C20: Pollution Abatement & Control",,,"Adult Education",,,
,"C27: Recycling",,,"Libraries",,,
,"C30: Natural Resources Conservation & Protection",,,"Parent & Teacher Groups",,,
,"C32: Water Resources, Wetlands Conservation & Management",,,"Scholarships & Financial Aid",,,
,"C34: Land Resources Conservation",,,"Schools",,,
,"C35: Energy Resources Conservation & Development",,,"Special Education",,,
,"C36: Forest Conservation",,,"Student Educational Services",,,
,"C40: Botanical, Horticultural & Landscape Services",,,"Vocational & Technical",,,
,"C41: Botanical Gardens & Arboreta",,,"Bullying & Youth Violence Prevention",,,
,"C42: Garden Clubs",,,"Child Abuse Services",,,
,"C50: Environmental Beautification",,,"Consumer Protection",,,
,"C60: Environmental Education",,,"Crime Prevention",,,
,"C99: Environment N.E.C.",,,"Domestic Violence Services",,,
,"D: Animal-Related",,,"Drunk Driving Related Classes & Prevention",,,
,"D01: Alliances & Advocacy",,,"Elder Abuse Services",,,
,"D02: Management & Technical Assistance",,,"Protection Against Abuse Services",,,
,"D03: Professional Societies & Associations",,,"Sexual Assault Services",,,
,"D05: Research Institutes & Public Policy Analysis",,,"Employment Opportunities ",,,
,"D11: Single Organization Support",,,"Job Search Assistance",,,
,"D12: Fund Raising & Fund Distribution",,,"Job Training",,,
,"D19: Support N.E.C.",,,"Labor Unions",,,
,"D20: Animal Protection & Welfare",,,"Social Enterprises",,,
,"D30: Wildlife Preservation & Protection",,,"Vocational Counseling",,,
,"D31: Protection of Endangered Species",,,"Beautification",,,
,"D32: Bird Sanctuaries",,,"Climate Change Crisis",,,
,"D33: Fisheries Resources",,,"Conservation",,,
,"D34: Wildlife Sanctuaries",,,"Environmental Education",,,
,"D40: Veterinary Services",,,"Recycling",,,
,"D50: Zoos & Aquariums",,,"Formerly Incarcerated Employment & Job Training",,,
,"D60: Animal Services N.E.C.",,,"Inmate Support & Programs",,,
,"D61: Animal Training",,,"Prison Alternatives",,,
,"D99: Animal-Related N.E.C.",,,"Rehabilitation & Reentry Services",,,
,"E: Health Care",,,"Transitional Living/Halfway Houses",,,
,"E01: Alliances & Advocacy",,,"Home Improvement & Repairs",,,
,"E02: Management & Technical Assistance",,,"Homeless Shelters",,,
,"E03: Professional Societies & Associations",,,"Housing Development, Construction & Management",,,
,"E05: Research Institutes & Public Policy Analysis",,,"Housing Search Assistance",,,
,"E11: Single Organization Support",,,"Housing Support Services",,,
,"E12: Fund Raising & Fund Distribution",,,"Low-Income & Subsidized Rental",,,
,"E19: Support N.E.C.",,,"Low-Income Long Term Residential Housing",,,
,"E20: Hospitals",,,"Temporary Housing",,,
,"E21: Community Health Systems",,,"Agriculture Programs",,,
,"E22: General Hospitals",,,"Child Nutrition & School Lunch Programs",,,
,"E24: Specialty Hospitals",,,"Community Food Systems",,,
,"E30: Ambulatory & Primary Health Care",,,"Farmland Preservation",,,
,"E31: Group Health Practices",,,"Food & Nutrition Education",,,
,"E32: Community Clinics",,,"Food Banks/Pantries",,,
,"E40: Reproductive Health Care",,,"Food Served Daily/Soup Kitchens",,,
,"E42: Family Planning",,,"Food Vouchers/Subsidies",,,
,"E50: Rehabilitative Care",,,"Mobile Food Delivery Services",,,
,"E60: Health Support",,,"Citizenship Education",,,
,"E61: Blood Banks",,,"Ethnic & Immigrant Community Centers",,,
,"E62: Emergency Medical Services & Transport",,,"Human Trafficking Victim Assistance",,,
,"E65: Organ & Tissue Banks",,,"Immigrant Employment & Career Development",,,
,"E6A: Pharmacies and drug stores",,,"Immigrant Grant & Loan Programs",,,
,"E70: Public Health",,,"Immigrant Services",,,
,"E80: Health (General & Financing)",,,"Language Learning Assistance",,,
,"E86: Patient & Family Support",,,"Multicultural Outreach",,,
,"E90: Nursing",,,"Refugee & Entrant Assistance",,,
,"E91: Nursing Facilities",,,"Foreign Policy & Globalization",,,
,"E92: Home Health Care",,,"International Affairs",,,
,"E99: Health Care N.E.C.",,,"International Development",,,
,"F: Mental Health & Crisis Intervention",,,"International Migration & Refugee Services",,,
,"F01: Alliances & Advocacy",,,"International Relief Services",,,
,"F02: Management & Technical Assistance",,,"National Security",,,
,"F03: Professional Societies & Associations",,,"United Nations",,,
,"F05: Research Institutes & Public Policy Analysis",,,"Civil Rights Legal Services",,,
,"F11: Single Organization Support",,,"Criminal Defense Services",,,
,"F12: Fund Raising & Fund Distribution",,,"Disability Rights Legal Services",,,
,"F19: Support N.E.C.",,,"Disaster Legal Services",,,
,"F20: Substance Abuse Dependency, Prevention & Treatment",,,"Dispute Resolution & Mediation",,,
,"F21: Substance Abuse Prevention",,,"Employment Law Services",,,
,"F22: Substance Abuse Treatment",,,"Environmental Law Services",,,
,"F30: Mental Health Treatment",,,"Family Legal Services",,,
,"F31: Psychiatric Hospitals",,,"Health Legal Services",,,
,"F32: Community Mental Health Centers",,,"Immigration Legal Services",,,
,"F33: Residential Mental Health Treatment",,,"LGBTQ+ Legal Services",,,
,"F40: Hot Lines & Crisis Intervention",,,"Pro Bono Services",,,
,"F42: Sexual Assault Services",,,"Public Interest Law/Nonprofit Legal Services",,,
,"F50: Addictive Disorders N.E.C.",,,"LGBTQ+ Advocacy",,,
,"F52: Smoking Addiction",,,"LGBTQ+ Community Centers",,,
,"F53: Eating Disorders & Addictions",,,"LGBTQ+ Education & Awareness",,,
,"F54: Gambling Addiction",,,"LGBTQ+ Employment & Training",,,
,"F60: Counseling",,,"LGBTQ+ Health Care Services",,,
,"F70: Mental Health Disorders",,,"LGBTQ+ Housing",,,
,"F80: Mental Health Associations",,,"LGBTQ+ Support Meetings",,,
,"F99: Mental Health & Crisis Intervention N.E.C.",,,"Blood/Organ/Tissue Banks",,,
,"G: Voluntary Health Associations & Medical Disciplines",,,"Community Clinics",,,
,"G01: Alliances & Advocacy",,,"Emergency Medical Services & Transportation",,,
,"G02: Management & Technical Assistance",,,"Family Planning",,,
,"G03: Professional Societies & Associations",,,"Health Care Access",,,
,"G05: Research Institutes & Public Policy Analysis",,,"Health Care Facilities",,,
,"G11: Single Organization Support",,,"Health Support Services",,,
,"G12: Fund Raising & Fund Distribution",,,"Home Health Care",,,
,"G19: Support N.E.C.",,,"Medical Research",,,
,"G20: Birth Defects & Genetic Diseases",,,"Nursing Services",,,
,"G25: Down Syndrome",,,"Patient & Family Support",,,
,"G30: Cancer",,,"Pharmacy & Drug Assistance",,,
,"G32: Breast Cancer",,,"Primary Health Care",,,
,"G40: Diseases of Specific Organs",,,"Reproductive Health Care",,,
,"G41: Eye Diseases, Blindness & Vision Impairments",,,"Women's Centers",,,
,"G42: Ear & Throat Diseases",,,"Information & Communications",,,
,"G43: Heart & Circulatory System Diseases & Disorders",,,"Media Education",,,
,"G44: Kidney Diseases",,,"Addictive Disorders",,,
,"G45: Lung Diseases",,,"Case Management Services",,,
,"G48: Brain Disorders",,,"Community Mental Health Centers",,,
,"G50: Nerve, Muscle & Bone Diseases",,,"Eating Disorder Services",,,
,"G51: Arthritis",,,"Forensic Evaluation",,,
,"G54: Epilepsy",,,"Hot Lines & Crisis Intervention",,,
,"G60: Allergy-Related Diseases",,,"Medication Cost Assistance",,,
,"G61: Asthma",,,"Mental Health Associations",,,
,"G70: Digestive Diseases & Disorders",,,"Mental Health Counseling",,,
,"G80: Specifically Named Diseases",,,"Mental Health Disorders Services",,,
,"G81: AIDS",,,"Mental Health Education & Awareness",,,
,"G83: Alzheimers Disease",,,"Psychiatric Care",,,
,"G84: Autism",,,"Residential Mental Health Treatment",,,
,"G90: Medical Disciplines",,,"Suicide Prevention Services",,,
,"G92: Biomedicine & Bioengineering",,,"Therapy Services",,,
,"G94: Geriatrics",,,"Trauma Services",,,
,"G96: Neurology & Neuroscience",,,"Community Foundations",,,
,"G98: Pediatrics",,,"Corporate Foundations",,,
,"G99: Voluntary Health Associations & Medical Disciplines N.E.C.",,,"Grantmaking Foundations",,,
,"G9B: Surgical Specialties",,,"Nonprofit Assistance",,,
,"H: Medical Research",,,"Nonprofit Community Building",,,
,"H01: Alliances & Advocacy",,,"Nonprofit Education & Training",,,
,"H02: Management & Technical Assistance",,,"Private Foundations",,,
,"H03: Professional Societies & Associations",,,"Private Operating Foundations",,,
,"H05: Research Institutes & Public Policy Analysis",,,"Public Charities/Foundations",,,
,"H11: Single Organization Support",,,"Voluntarism Promotion",,,
,"H12: Fund Raising & Fund Distribution",,,"Anti-Discrimination Programs & Promotion",,,
,"H19: Support N.E.C.",,,"Diversity & Inclusion Education",,,
,"H20: Birth Defects & Genetic Diseases Research",,,"Diversity Leadership Development",,,
,"H25: Down Syndrome Research",,,"Racial Equity & Equality Advocacy",,,
,"H30: Cancer Research",,,"Racial Justice Advocacy & Policy",,,
,"H32: Breast Cancer Research",,,"Science Education",,,
,"H40: Diseases of Specific Organs Research",,,"Science & Technology Development",,,
,"H41: Eye Diseases, Blindness & Vision Impairments Research",,,"STEM Programs",,,
,"H42: Ear & Throat Diseases Research",,,"Social Sciences Education & Programs",,,
,"H43: Heart & Circulatory System Diseases & Disorders Research",,,"Classes",,,
,"H44: Kidney Diseases Research",,,"Community Outreach",,,
,"H45: Lung Diseases Research",,,"Counseling",,,
,"H48: Brain Disorders Research",,,"Crisis Services",,,
,"H50: Nerve, Muscle & Bone Diseases Research",,,"Emergency Assistance",,,
,"H51: Arthritis Research",,,"Financial Counseling",,,
,"H54: Epilepsy Research",,,"Government Benefits Assistance",,,
,"H60: Allergy-Related Diseases Research",,,"Human Service Organizations",,,
,"H61: Asthma Research",,,"Information/Referrals",,,
,"H70: Digestive Diseases & Disorders Research",,,"Social Services",,,
,"H80: Specifically Named Diseases Research",,,"Travelers' Aid",,,
,"H81: AIDS Research",,,"Victims' Services",,,
,"H83: Alzheimers Disease Research",,,"Volunteer Associations",,,
,"H84: Autism Research",,,"Adult Day Care for Seniors",,,
,"H90: Medical Disciplines Research",,,"Hospices",,,
,"H92: Biomedicine & Bioengineering Research",,,"Independent & Supportive Senior Housing",,,
,"H94: Geriatrics Research",,,"Residential Care Programs",,,
,"H96: Neurology & Neuroscience Research",,,"Senior Centers",,,
,"H98: Pediatrics Research",,,"Senior Employment Opportunities",,,
,"H99: Medical Research N.E.C.",,,"Senior Services & Programs",,,
,"H9B: Surgical Specialties Research",,,"Senior Support Education & Training",,,
,"I: Crime & Legal-Related",,,"Senior Support/Caregivers",,,
,"I01: Alliances & Advocacy",,,"Senior Transportation Services",,,
,"I02: Management & Technical Assistance",,,"Adaptive Sports",,,
,"I03: Professional Societies & Associations",,,"Camps",,,
,"I05: Research Institutes & Public Policy Analysis",,,"Community Recreation",,,
,"I11: Single Organization Support",,,"Parks & Campgrounds",,,
,"I12: Fund Raising & Fund Distribution",,,"Recreational Clubs",,,
,"I19: Support N.E.C.",,,"Sports Training & Fitness",,,
,"I20: Crime Prevention",,,"Adult Rides & Services",,,
,"I21: Youth Violence Prevention",,,"Car Donation",,,
,"I23: Drunk Driving-Related",,,"Public Transportation Assistance",,,
,"I30: Correctional Facilities",,,"Veteran & Military Associations/Organizations",,,
,"I31: Half-Way Houses for Offenders & Ex-Offenders",,,"Veteran & Military Support Services",,,
,"I40: Rehabilitation Services for Offenders",,,"Veteran Careers & Employment",,,
,"I43: Inmate Support",,,"Veteran Counseling",,,
,"I44: Prison Alternatives",,,"Veteran Disability Services",,,
,"I50: Administration of Justice",,,"Veteran Education & Training Programs",,,
,"I51: Dispute Resolution & Mediation",,,"Veteran Family Member Benefits",,,
,"I60: Law Enforcement",,,"Veteran Health Care",,,
,"I70: Protection Against Abuse",,,"Veteran Housing",,,
,"I71: Spouse Abuse Prevention",,,"Veteran Life Insurance & Benefits",,,
,"I72: Child Abuse Prevention",,,"Veteran Loan Programs",,,
,"I73: Sexual Abuse Prevention",,,"Veteran Trauma Support Services",,,
,"I80: Legal Services",,,"After School Programs",,,
,"I83: Public Interest Law",,,"Scouting (Boy Scouts, Girl Scouts, Camp Fire)",,,
,"I99: Crime & Legal-Related N.E.C.",,,"Youth Centers & Clubs",,,
,"J: Employment",,,"Youth Development Programs",,,
,"J01: Alliances & Advocacy",,,"Youth Mentoring Programs",,,
,"J02: Management & Technical Assistance",,,"Youth Specific Services",,,
,"J03: Professional Societies & Associations",,,,,,
,"J05: Research Institutes & Public Policy Analysis",,,,,,
,"J11: Single Organization Support",,,,,,
,"J12: Fund Raising & Fund Distribution",,,,,,
,"J19: Support N.E.C.",,,,,,
,"J20: Employment Preparation & Procurement",,,,,,
,"J21: Vocational Counseling",,,,,,
,"J22: Job Training",,,,,,
,"J30: Vocational Rehabilitation",,,,,,
,"J32: Goodwill Industries",,,,,,
,"J33: Sheltered Employment",,,,,,
,"J40: Labor Unions",,,,,,
,"J99: Employment N.E.C.",,,,,,
,"K: Food, Agriculture & Nutrition",,,,,,
,"K01: Alliances & Advocacy",,,,,,
,"K02: Management & Technical Assistance",,,,,,
,"K03: Professional Societies & Associations",,,,,,
,"K05: Research Institutes & Public Policy Analysis",,,,,,
,"K11: Single Organization Support",,,,,,
,"K12: Fund Raising & Fund Distribution",,,,,,
,"K19: Support N.E.C.",,,,,,
,"K20: Agricultural Programs",,,,,,
,"K25: Farmland Preservation",,,,,,
,"K26: Animal Husbandry",,,,,,
,"K28: Farm Bureaus & Granges",,,,,,
,"K2A: Other Vegetable (except Potato) and Melon Farming",,,,,,
,"K2B: Soil Preparation, Planting, and Cultivating",,,,,,
,"K2C: Wineries",,,,,,
,"K30: Food Programs",,,,,,
,"K31: Food Banks & Pantries",,,,,,
,"K34: Congregate Meals",,,,,,
,"K35: Soup Kitchens",,,,,,
,"K36: Meals on Wheels",,,,,,
,"K40: Nutrition",,,,,,
,"K50: Home Economics",,,,,,
,"K6A: Meat markets",,,,,,
,"K6B: Confectionery and Nut Stores",,,,,,
,"K6C: Caterers",,,,,,
,"K6D: Mobile food services",,,,,,
,"K6E: Drinking Places (Alcoholic Beverages)",,,,,,
,"K6F: Snack and Nonalcoholic Beverage Bars",,,,,,
,"K90: Limited-Service Restaurants",,,,,,
,"K91: Supermarkets and Other Grocery (except Convenience) Stores",,,,,,
,"K92: Convenience Stores",,,,,,
,"K93: Fruit and Vegetable Markets",,,,,,
,"K94: All Other Specialty Food Stores",,,,,,
,"K95: Food (Health) Supplement Stores",,,,,,
,"K96: Warehouse Clubs and Supercenters",,,,,,
,"K97: Food Service Contractors",,,,,,
,"K98: Full-Service Restaurants",,,,,,
,"K99: Food, Agriculture & Nutrition N.E.C.",,,,,,
,"L: Housing & Shelter",,,,,,
,"L01: Alliances & Advocacy",,,,,,
,"L02: Management & Technical Assistance",,,,,,
,"L03: Professional Societies & Associations",,,,,,
,"L05: Research Institutes & Public Policy Analysis",,,,,,
,"L11: Single Organization Support",,,,,,
,"L12: Fund Raising & Fund Distribution",,,,,,
,"L19: Support N.E.C.",,,,,,
,"L20: Housing Development, Construction & Management",,,,,,
,"L21: Low-Income & Subsidized Rental Housing",,,,,,
,"L22: Senior Citizens Housing & Retirement Communities",,,,,,
,"L24: Independent Housing for People with Disabilities",,,,,,
,"L25: Housing Rehabilitation",,,,,,
,"L30: Housing Search Assistance",,,,,,
,"L40: Temporary Housing",,,,,,
,"L41: Homeless Shelters",,,,,,
,"L4A: Hotels (except Casino Hotels) and Motels",,,,,,
,"L4B: Bed-and-breakfast inns",,,,,,
,"L50: Homeowners & Tenants Associations",,,,,,
,"L80: Housing Support",,,,,,
,"L81: Home Improvement & Repairs",,,,,,
,"L82: Housing Expense Reduction Support",,,,,,
,"L99: Housing & Shelter N.E.C.",,,,,,
,"M: Public Safety, Disaster Preparedness & Relief",,,,,,
,"M01: Alliances & Advocacy",,,,,,
,"M02: Management & Technical Assistance",,,,,,
,"M03: Professional Societies & Associations",,,,,,
,"M05: Research Institutes & Public Policy Analysis",,,,,,
,"M11: Single Organization Support",,,,,,
,"M12: Fund Raising & Fund Distribution",,,,,,
,"M19: Support N.E.C.",,,,,,
,"M20: Disaster Preparedness & Relief Services",,,,,,
,"M23: Search & Rescue Squads",,,,,,
,"M24: Fire Prevention",,,,,,
,"M40: Safety Education",,,,,,
,"M41: First Aid",,,,,,
,"M42: Automotive Safety",,,,,,
,"M60: Public Safety Benevolent Associations",,,,,,
,"M99: Public Safety, Disaster Preparedness & Relief N.E.C.",,,,,,
,"N: Recreation & Sports",,,,,,
,"N01: Alliances & Advocacy",,,,,,
,"N02: Management & Technical Assistance",,,,,,
,"N03: Professional Societies & Associations",,,,,,
,"N05: Research Institutes & Public Policy Analysis",,,,,,
,"N11: Single Organization Support",,,,,,
,"N12: Fund Raising & Fund Distribution",,,,,,
,"N19: Support N.E.C.",,,,,,
,"N20: Camps",,,,,,
,"N2A: RV (Recreational Vehicle) Parks and Campgrounds",,,,,,
,"N2B: Recreational and Vacation Camps (Except Campgrounds)",,,,,,
,"N30: Physical Fitness & Community Recreational Facilities",,,,,,
,"N31: Community Recreational Centers",,,,,,
,"N32: Parks & Playgrounds",,,,,,
,"N40: Sports Associations & Training Facilities",,,,,,
,"N50: Recreational Clubs",,,,,,
,"N52: Fairs",,,,,,
,"N60: Amateur Sports",,,,,,
,"N61: Fishing & Hunting",,,,,,
,"N62: Basketball",,,,,,
,"N63: Baseball & Softball",,,,,,
,"N64: Soccer",,,,,,
,"N65: Football",,,,,,
,"N66: Racquet Sports",,,,,,
,"N67: Swimming & Other Water Recreation",,,,,,
,"N68: Winter Sports",,,,,,
,"N69: Equestrian",,,,,,
,"N6A: Golf",,,,,,
,"N70: Amateur Sports Competitions",,,,,,
,"N71: Olympics",,,,,,
,"N72: Special Olympics",,,,,,
,"N80: Professional Athletic Leagues",,,,,,
,"N99: Recreation & Sports N.E.C.",,,,,,
,"O: Youth Development",,,,,,
,"O01: Alliances & Advocacy",,,,,,
,"O02: Management & Technical Assistance",,,,,,
,"O03: Professional Societies & Associations",,,,,,
,"O05: Research Institutes & Public Policy Analysis",,,,,,
,"O11: Single Organization Support",,,,,,
,"O12: Fund Raising & Fund Distribution",,,,,,
,"O19: Support N.E.C.",,,,,,
,"O20: Youth Centers & Clubs",,,,,,
,"O21: Boys Clubs",,,,,,
,"O22: Girls Clubs",,,,,,
,"O23: Boys & Girls Clubs",,,,,,
,"O30: Adult & Child Matching Programs",,,,,,
,"O31: Big Brothers & Big Sisters",,,,,,
,"O40: Scouting",,,,,,
,"O41: Boy Scouts of America",,,,,,
,"O42: Girl Scouts of the U.S.A.",,,,,,
,"O43: Camp Fire",,,,,,
,"O50: Youth Development Programs",,,,,,
,"O51: Youth Community Service Clubs",,,,,,
,"O52: Youth Development - Agricultural",,,,,,
,"O53: Youth Development - Business",,,,,,
,"O54: Youth Development - Citizenship",,,,,,
,"O55: Youth Development - Religious Leadership",,,,,,
,"O99: Youth Development N.E.C.",,,,,,
,"P: Human Services",,,,,,
,"P01: Alliances & Advocacy",,,,,,
,"P02: Management & Technical Assistance",,,,,,
,"P03: Professional Societies & Associations",,,,,,
,"P05: Research Institutes & Public Policy Analysis",,,,,,
,"P11: Single Organization Support",,,,,,
,"P12: Fund Raising & Fund Distribution",,,,,,
,"P19: Support N.E.C.",,,,,,
,"P20: Human Service Organizations",,,,,,
,"P21: American Red Cross",,,,,,
,"P22: Urban League",,,,,,
,"P24: Salvation Army",,,,,,
,"P26: Volunteers of America",,,,,,
,"P27: Young Mens or Womens Associations",,,,,,
,"P28: Neighborhood Centers",,,,,,
,"P29: Thrift Shops",,,,,,
,"P30: Children & Youth Services",,,,,,
,"P31: Adoption",,,,,,
,"P32: Foster Care",,,,,,
,"P33: Child Day Care",,,,,,
,"P40: Family Services",,,,,,
,"P42: Single Parent Agencies",,,,,,
,"P43: Family Violence Shelters",,,,,,
,"P44: In-Home Assistance",,,,,,
,"P45: Family Services for Adolescent Parents",,,,,,
,"P46: Family Counseling",,,,,,
,"P47: Pregnancy Centers",,,,,,
,"P50: Personal Social Services",,,,,,
,"P51: Financial Counseling",,,,,,
,"P52: Transportation Assistance",,,,,,
,"P58: Gift Distribution",,,,,,
,"P60: Emergency Assistance",,,,,,
,"P61: Travelers Aid",,,,,,
,"P62: Victims Services",,,,,,
,"P70: Residential Care & Adult Day Programs",,,,,,
,"P71: Adult Day Care",,,,,,
,"P73: Group Homes",,,,,,
,"P74: Hospices",,,,,,
,"P75: Supportive Housing for Older Adults",,,,,,
,"P76: Homes for Children & Adolescents",,,,,,
,"P7A: Residential Intellectual and Developmental Disability Facilities (group homes, intermediate care facilities & hospitals)",,,,,,
,"P80: Centers to Support the Independence of Specific Populations",,,,,,
,"P81: Senior Centers",,,,,,
,"P82: Developmentally Disabled Centers",,,,,,
,"P83: Women's Centers",,,,,,
,"P84: Ethnic & Immigrant Centers",,,,,,
,"P85: Homeless Centers",,,,,,
,"P86: Blind & Visually Impaired Centers",,,,,,
,"P87: Deaf & Hearing Impaired Centers",,,,,,
,"P88: LGBT Centers",,,,,,
,"P99: Human Services N.E.C.",,,,,,
,"Q: International, Foreign Affairs & National Security",,,,,,
,"Q01: Alliances & Advocacy",,,,,,
