"location_id","day","open_time","close_time","closed"
18,"Thursday","15:00:00","23:30:00","no"
9,"Wednesday","15:00:00","23:00:00","no"
22,"Friday","14:30:00","00:00:00","no"
23,"Thursday","15:00:00","23:00:00","no"
24,"Sunday",,,"yes"
24,"Saturday",,,"yes"
24,"Friday",,,"yes"
9,"Thursday","15:00:00","23:00:00","no"
9,"Friday","15:00:00","23:00:00","no"
24,"Monday","14:30:00","00:00:00","no"
24,"Tuesday","14:35:00","00:00:00","no"
24,"Wednesday","14:35:00","00:00:00","no"
24,"Thursday","14:35:00","00:00:00","no"
23,"Monday","14:30:00","00:00:00","no"
23,"Tuesday","14:30:00","00:00:00","no"
23,"Wednesday","14:30:00","00:00:00","no"
23,"Friday","14:30:00","00:00:00","no"
25,"Sunday",,,"yes"
25,"Saturday",,,"yes"
25,"Friday",,,"yes"
32,"Saturday","06:00:00","05:59:00","no"
32,"Sunday","06:00:00","05:59:00","no"
32,"Monday","06:00:00","05:59:00","no"
32,"Tuesday","06:00:00","05:59:00","no"
25,"Monday","23:30:00","01:00:00","no"
25,"Tuesday","23:30:00","01:00:00","no"
25,"Wednesday","23:30:00","01:00:00","no"
25,"Thursday","23:30:00","01:00:00","no"
26,"Sunday",,,"yes"
26,"Saturday",,,"yes"
26,"Monday",,,"yes"
26,"Tuesday",,,"yes"
26,"Wednesday",,,"yes"
26,"Thursday",,,"yes"
26,"Friday",,,"yes"
27,"Sunday",,,"yes"
27,"Saturday",,,"yes"
27,"Monday",,,"yes"
27,"Tuesday",,,"yes"
27,"Wednesday",,,"yes"
27,"Thursday",,,"yes"
27,"Friday",,,"yes"
28,"Sunday",,,"yes"
28,"Saturday",,,"yes"
28,"Monday","15:00:00","00:00:00","no"
28,"Tuesday","15:00:00","00:00:00","no"
28,"Wednesday","15:00:00","00:00:00","no"
28,"Thursday","15:00:00","00:00:00","no"
28,"Friday","15:00:00","00:00:00","no"
32,"Wednesday","06:00:00","05:59:00","no"
32,"Thursday","06:00:00","05:59:00","no"
32,"Friday","06:00:00","05:59:00","no"
33,"Sunday",,,"yes"
33,"Saturday",,,"yes"
33,"Monday",,,"yes"
33,"Tuesday",,,"yes"
29,"Sunday","06:00:00","05:59:00","no"
29,"Saturday","06:00:00","05:59:00","no"
29,"Monday","06:00:00","05:59:00","no"
29,"Tuesday","06:00:00","05:59:00","no"
29,"Wednesday","06:00:00","05:59:00","no"
29,"Thursday","06:00:00","05:59:00","no"
29,"Friday","06:00:00","05:59:00","no"
30,"Sunday",,,"yes"
30,"Saturday",,,"yes"
30,"Monday","14:00:00","00:00:00","no"
30,"Tuesday","14:00:00","00:00:00","no"
30,"Wednesday","14:00:00","00:00:00","no"
30,"Thursday","14:00:00","00:00:00","no"
30,"Friday","14:00:00","00:00:00","no"
31,"Sunday",,,"yes"
31,"Monday","15:00:00","23:00:00","no"
31,"Tuesday","15:00:00","23:00:00","no"
31,"Wednesday","15:00:00","23:00:00","no"
31,"Thursday","15:00:00","23:00:00","no"
31,"Friday","15:00:00","23:00:00","no"
31,"Saturday",,,"yes"
33,"Wednesday",,,"yes"
33,"Thursday",,,"yes"
33,"Friday",,,"yes"
34,"Sunday",,,"yes"
34,"Saturday",,,"yes"
34,"Monday","15:00:00","23:30:00","no"
34,"Tuesday","15:00:00","23:30:00","no"
34,"Wednesday","15:00:00","23:30:00","no"
34,"Thursday","15:00:00","23:30:00","no"
34,"Friday","15:00:00","23:30:00","no"
35,"Sunday",,,"yes"
35,"Saturday",,,"yes"
35,"Monday","14:30:00","23:30:00","no"
35,"Tuesday","14:30:00","23:30:00","no"
35,"Wednesday","14:30:00","23:30:00","no"
35,"Thursday","14:30:00","23:30:00","no"
35,"Friday","14:30:00","23:30:00","no"
37,"Sunday",,,"yes"
37,"Saturday",,,"yes"
37,"Monday",,,"yes"
37,"Tuesday",,,"yes"
37,"Wednesday",,,"yes"
37,"Thursday",,,"yes"
37,"Friday",,,"yes"
36,"Sunday","06:00:00","05:59:00","no"
36,"Monday","06:00:00","05:59:00","no"
36,"Tuesday","06:00:00","05:59:00","no"
36,"Wednesday","06:00:00","05:59:00","no"
36,"Thursday","06:00:00","05:59:00","no"
36,"Friday","06:00:00","05:59:00","no"
36,"Saturday","06:00:00","05:59:00","no"
38,"Sunday",,,"yes"
38,"Saturday",,,"yes"
38,"Monday",,,"yes"
38,"Tuesday",,,"yes"
38,"Wednesday",,,"yes"
38,"Thursday",,,"yes"
38,"Friday",,,"yes"
39,"Sunday",,,"yes"
39,"Saturday",,,"yes"
39,"Monday","15:30:00","23:30:00","no"
39,"Tuesday","15:30:00","23:30:00","no"
39,"Wednesday","15:30:00","23:30:00","no"
39,"Thursday","15:30:00","23:30:00","no"
39,"Friday","15:30:00","23:30:00","no"
40,"Sunday",,,"yes"
40,"Saturday",,,"yes"
40,"Monday","15:00:00","23:30:00","no"
40,"Tuesday","15:00:00","23:30:00","no"
40,"Wednesday","15:00:00","23:30:00","no"
40,"Thursday","15:00:00","23:30:00","no"
40,"Friday","20:00:00","23:30:00","no"
41,"Sunday","13:00:00","21:00:00","no"
41,"Saturday","13:00:00","21:00:00","no"
41,"Monday","13:00:00","21:00:00","no"
41,"Tuesday","13:00:00","21:00:00","no"
41,"Wednesday","13:00:00","21:00:00","no"
41,"Thursday","13:00:00","21:00:00","no"
41,"Friday","13:00:00","21:00:00","no"
42,"Sunday",,,"yes"
42,"Saturday",,,"yes"
47,"Sunday",,,"yes"
47,"Saturday",,,"yes"
47,"Monday","16:00:00","00:00:00","no"
47,"Tuesday","16:00:00","00:00:00","no"
47,"Wednesday","16:00:00","00:00:00","no"
47,"Thursday","16:00:00","00:00:00","no"
47,"Friday","16:00:00","00:00:00","no"
48,"Sunday",,,"yes"
48,"Saturday",,,"yes"
48,"Monday","15:00:00","23:30:00","no"
42,"Monday","17:00:00","01:00:00","no"
42,"Tuesday","17:00:00","01:00:00","no"
42,"Wednesday","17:00:00","01:00:00","no"
42,"Thursday","17:00:00","01:00:00","no"
42,"Friday","17:00:00","01:00:00","no"
43,"Sunday",,,"yes"
43,"Saturday",,,"yes"
48,"Tuesday","15:00:00","23:30:00","no"
48,"Wednesday","15:00:00","23:30:00","no"
48,"Thursday","15:00:00","23:30:00","no"
48,"Friday","15:00:00","22:00:00","no"
49,"Sunday",,,"yes"
43,"Monday","16:00:00","00:00:00","no"
43,"Tuesday","16:00:00","00:00:00","no"
43,"Wednesday","16:00:00","00:00:00","no"
43,"Thursday","16:00:00","00:00:00","no"
43,"Friday","16:00:00","00:00:00","no"
44,"Sunday",,,"yes"
44,"Saturday",,,"yes"
44,"Monday","14:30:00","23:30:00","no"
44,"Tuesday","14:30:00","23:30:00","no"
44,"Wednesday","14:30:00","23:30:00","no"
44,"Thursday","14:30:00","23:30:00","no"
44,"Friday","14:30:00","23:30:00","no"
45,"Sunday",,,"yes"
45,"Saturday",,,"yes"
45,"Monday",,,"yes"
45,"Tuesday",,,"yes"
45,"Wednesday",,,"yes"
45,"Thursday",,,"yes"
45,"Friday",,,"yes"
46,"Sunday",,,"yes"
46,"Saturday",,,"yes"
46,"Monday",,,"yes"
46,"Tuesday",,,"yes"
46,"Wednesday",,,"yes"
46,"Thursday",,,"yes"
46,"Friday",,,"yes"
49,"Saturday",,,"yes"
49,"Monday","15:00:00","00:00:00","no"
49,"Tuesday","15:00:00","00:00:00","no"
49,"Wednesday","15:00:00","00:00:00","no"
49,"Thursday","15:00:00","00:00:00","no"
49,"Friday","15:00:00","00:00:00","no"
50,"Sunday",,,"yes"
50,"Saturday",,,"yes"
50,"Monday","15:00:00","23:00:00","no"
50,"Tuesday","15:00:00","23:00:00","no"
50,"Wednesday","15:00:00","23:00:00","no"
50,"Thursday","15:00:00","23:00:00","no"
50,"Friday","15:00:00","23:00:00","no"
51,"Sunday",,,"yes"
51,"Saturday",,,"yes"
51,"Monday","16:00:00","00:00:00","no"
51,"Tuesday","16:00:00","00:00:00","no"
51,"Wednesday","16:00:00","00:00:00","no"
51,"Thursday","16:00:00","00:00:00","no"
51,"Friday","16:00:00","00:00:00","no"
52,"Sunday",,,"yes"
52,"Saturday",,,"yes"
52,"Monday","16:00:00","00:00:00","no"
52,"Tuesday","16:00:00","00:00:00","no"
52,"Wednesday","16:00:00","00:00:00","no"
52,"Thursday","16:00:00","00:00:00","no"
52,"Friday","16:00:00","00:00:00","no"
53,"Sunday",,,"yes"
53,"Monday","15:30:00","19:30:00","no"
53,"Saturday",,,"yes"
53,"Tuesday","15:30:00","19:30:00","no"
53,"Wednesday","15:30:00","19:30:00","no"
53,"Thursday","15:30:00","19:30:00","no"
53,"Friday","15:30:00","19:30:00","no"
54,"Sunday",,,"yes"
54,"Monday","16:00:00","22:00:00","no"
54,"Tuesday","16:00:00","22:00:00","no"
54,"Wednesday","16:00:00","22:00:00","no"
54,"Thursday","16:00:00","22:00:00","no"
54,"Friday","16:00:00","22:00:00","no"
54,"Saturday",,,"yes"
55,"Sunday",,,"yes"
55,"Monday","17:00:00","22:00:00","no"
55,"Saturday","17:00:00","19:00:00","no"
55,"Tuesday","17:00:00","22:00:00","no"
55,"Wednesday","17:00:00","22:00:00","no"
55,"Thursday","17:00:00","22:00:00","no"
55,"Friday","17:00:00","22:00:00","no"
56,"Sunday",,,"yes"
56,"Saturday",,,"yes"
56,"Monday","16:00:00","00:00:00","no"
56,"Tuesday","16:00:00","00:00:00","no"
56,"Wednesday","16:00:00","00:00:00","no"
56,"Thursday","16:00:00","00:00:00","no"
56,"Friday","16:00:00","00:00:00","no"
57,"Sunday",,,"yes"
57,"Saturday",,,"yes"
57,"Friday",,,"yes"
57,"Monday","17:00:00","21:45:00","no"
57,"Tuesday","19:00:00","23:45:00","no"
57,"Wednesday","17:00:00","21:45:00","no"
57,"Thursday","17:00:00","21:45:00","no"
58,"Sunday",,,"yes"
58,"Saturday",,,"yes"
58,"Monday","15:30:00","00:00:00","no"
58,"Tuesday","15:30:00","00:00:00","no"
58,"Wednesday","15:30:00","00:00:00","no"
58,"Thursday","15:30:00","00:00:00","no"
58,"Friday","15:30:00","00:00:00","no"
59,"Sunday",,,"yes"
59,"Saturday",,,"yes"
59,"Monday","16:00:00","00:00:00","no"
59,"Tuesday","16:00:00","00:00:00","no"
59,"Wednesday","16:00:00","00:00:00","no"
59,"Thursday","16:00:00","00:00:00","no"
59,"Friday","16:00:00","00:00:00","no"
60,"Sunday",,,"yes"
60,"Saturday",,,"yes"
60,"Monday","16:30:00","23:00:00","no"
60,"Tuesday","16:30:00","23:00:00","no"
60,"Wednesday","16:30:00","23:00:00","no"
60,"Thursday","16:30:00","23:00:00","no"
60,"Friday","16:30:00","23:00:00","no"
61,"Sunday",,,"yes"
61,"Saturday",,,"yes"
61,"Monday","15:00:00","00:00:00","no"
61,"Tuesday","15:00:00","00:00:00","no"
61,"Wednesday","15:00:00","00:00:00","no"
61,"Thursday","15:00:00","00:00:00","no"
61,"Friday","15:00:00","00:00:00","no"
